transaction_id,customer_id,merchant_id,amount,currency,timestamp,device_id,ip_address,country,payment_method,transaction_status,customer_age_days,customer_transaction_count,customer_avg_amount,customer_max_amount,customer_usual_country,customer_usual_device,transactions_last_10m,transactions_last_1h,transactions_last_24h,is_new_device,is_new_country,is_unusual_hour,is_fraud
txn_000001,cust_0119,merch_003,916.89,INR,2026-07-05T00:01:00.314572,dev_0119_primary,103.21.58.23,IN,debit_card,success,847,0,1412.71,2119.07,IN,dev_0119_primary,0,0,0,0,0,1,0
txn_000002,cust_0039,merch_029,1300.66,INR,2026-07-05T00:02:39.246494,dev_0039_primary,103.21.134.125,IN,upi,success,836,0,983.29,1474.93,IN,dev_0039_primary,0,0,0,0,0,1,0
txn_000003,cust_0045,merch_029,1145.04,INR,2026-07-05T00:11:38.248535,dev_0045_primary,103.21.230.62,IN,upi,success,1181,0,1243.44,1865.15,IN,dev_0045_primary,3,3,0,0,0,1,0
txn_000004,cust_0094,merch_019,46532.31,INR,2026-07-05T00:19:36.966123,dev_0094_primary,103.21.207.151,IN,net_banking,success,55,0,36119.52,54179.29,IN,dev_0094_primary,0,0,0,0,0,1,0
txn_000005,cust_0086,merch_007,682.56,INR,2026-07-05T00:20:49.368288,dev_0086_primary,103.21.244.219,IN,net_banking,success,288,0,647.76,971.63,IN,dev_0086_primary,0,0,0,0,0,1,0
txn_000006,cust_0224,merch_006,424.49,INR,2026-07-05T00:51:39.714920,dev_0224_primary,103.21.81.148,IN,net_banking,success,893,0,821.01,1231.52,IN,dev_0224_primary,0,0,0,0,0,1,0
txn_000007,cust_0101,merch_006,5945.0,INR,2026-07-05T00:56:27.177707,dev_0101_primary,103.21.107.73,IN,credit_card,success,878,0,7805.66,11708.49,IN,dev_0101_primary,0,0,0,0,0,1,0
txn_000008,cust_0213,merch_034,1116.96,INR,2026-07-05T01:21:30.664747,dev_0213_primary,103.21.165.39,SG,net_banking,success,578,0,1491.66,2237.49,SG,dev_0213_primary,0,0,0,0,0,1,0
txn_000009,cust_0244,merch_032,1036.93,INR,2026-07-05T01:36:05.096313,dev_0244_secondary,103.21.208.91,IN,upi,success,317,0,1639.22,2458.83,IN,dev_0244_primary,0,0,0,0,0,1,0
txn_000010,cust_0130,merch_034,119975.53,INR,2026-07-05T01:56:57.195709,dev_0130_primary,103.21.23.66,IN,upi,success,993,0,118507.07,177760.61,IN,dev_0130_primary,0,0,0,0,0,1,0
txn_000011,cust_0042,merch_011,5229.24,INR,2026-07-05T02:03:24.530522,dev_0042_primary,103.21.65.249,IN,net_banking,success,1125,0,2420.44,3630.66,IN,dev_0042_primary,0,0,0,0,0,1,0
txn_000012,cust_0073,merch_029,12564.67,INR,2026-07-05T02:07:20.293695,dev_0073_primary,103.21.210.122,IN,net_banking,success,691,0,8383.07,12574.6,IN,dev_0073_primary,0,0,0,0,0,1,0
txn_000013,cust_0174,merch_029,1452.23,INR,2026-07-05T02:15:13.505313,dev_0174_primary,103.21.105.112,IN,upi,success,1102,0,909.43,1364.15,IN,dev_0174_primary,0,0,0,0,0,1,0
txn_000014,cust_0206,merch_017,358.69,INR,2026-07-05T02:52:07.228976,dev_0206_primary,103.21.214.46,SG,upi,success,67,0,586.15,879.22,SG,dev_0206_primary,0,0,0,0,0,1,0
txn_000015,cust_0133,merch_019,5879.61,INR,2026-07-05T04:38:03.478525,dev_0133_primary,103.21.116.157,IN,upi,success,477,0,3652.37,5478.56,IN,dev_0133_primary,0,0,0,0,0,1,0
txn_000016,cust_0243,merch_029,13133.86,INR,2026-07-05T05:15:54.318011,dev_0243_primary,14.139.116.15,TH,credit_card,success,1101,0,5482.25,8223.37,IN,dev_0243_primary,0,0,0,0,1,0,0
txn_000017,cust_0129,merch_025,12567.45,INR,2026-07-05T05:30:02.479062,dev_0129_primary,103.21.156.74,IN,credit_card,success,917,0,6492.77,9739.16,IN,dev_0129_primary,2,3,0,0,0,0,0
txn_000018,cust_0008,merch_007,38915.21,INR,2026-07-05T05:30:56.225954,dev_0008_primary,103.21.100.55,IN,net_banking,success,161,0,6568.16,9852.25,IN,dev_0008_primary,0,0,0,0,0,0,0
txn_000019,cust_0203,merch_003,2526.88,INR,2026-07-05T05:38:32.855746,dev_0203_primary,103.21.72.34,IN,upi,success,435,0,4203.96,6305.94,IN,dev_0203_primary,0,0,0,0,0,0,0
txn_000020,cust_0115,merch_006,7096.01,INR,2026-07-05T06:01:47.707767,dev_0115_primary,103.21.228.64,IN,credit_card,success,192,0,6379.46,9569.19,IN,dev_0115_primary,0,0,0,0,0,0,0
txn_000021,cust_0109,merch_019,7663.35,INR,2026-07-05T06:16:59.189867,dev_0109_primary,103.21.87.219,IN,net_banking,success,262,0,6799.94,10199.91,IN,dev_0109_primary,0,0,0,0,0,0,0
txn_000022,cust_0017,merch_032,727.63,INR,2026-07-05T06:40:12.407256,dev_0017_primary,103.21.118.154,IN,net_banking,success,796,0,920.47,1380.7,IN,dev_0017_primary,0,0,0,0,0,0,0
txn_000023,cust_0110,merch_023,776.67,INR,2026-07-05T07:06:48.861164,dev_0110_primary,103.21.98.138,IN,upi,success,773,0,799.02,1198.53,IN,dev_0110_primary,0,0,0,0,0,0,0
txn_000024,cust_0245,merch_033,629.89,INR,2026-07-05T07:31:50.316606,dev_0245_primary,103.21.75.52,IN,upi,success,328,0,545.63,818.45,IN,dev_0245_primary,0,0,0,0,0,0,0
txn_000025,cust_0100,merch_017,1527.96,INR,2026-07-05T07:39:05.057865,dev_0100_primary,103.21.107.85,IN,credit_card,success,684,0,1867.81,2801.72,IN,dev_0100_primary,0,0,0,0,0,0,0
txn_000026,cust_0027,merch_022,1746.45,INR,2026-07-05T07:55:42.062848,dev_0027_primary,103.21.118.248,IN,debit_card,success,1119,0,1192.89,1789.34,IN,dev_0027_primary,0,0,0,0,0,0,0
txn_000027,cust_0179,merch_012,2665.36,INR,2026-07-05T08:17:32.896022,dev_0179_primary,103.21.126.218,IN,debit_card,success,802,0,811.63,1217.45,IN,dev_0179_primary,0,0,0,0,0,0,0
txn_000028,cust_0199,merch_003,675.27,INR,2026-07-05T08:26:42.749367,dev_0199_primary,103.21.250.245,IN,net_banking,success,773,0,1559.77,2339.65,IN,dev_0199_primary,0,0,0,0,0,0,0
txn_000029,cust_0102,merch_035,4645.78,INR,2026-07-05T08:42:27.871866,dev_0102_primary,103.21.130.6,IN,upi,success,121,0,6218.29,9327.43,IN,dev_0102_primary,0,0,0,0,0,0,0
txn_000030,cust_0222,merch_018,4650.61,INR,2026-07-05T08:54:16.936570,dev_0222_primary,103.21.200.114,SG,upi,success,450,0,3661.81,5492.72,SG,dev_0222_primary,0,0,0,0,0,0,0
txn_000031,cust_0250,merch_032,5887.14,INR,2026-07-05T09:11:08.961020,dev_0250_primary,103.21.104.214,IN,net_banking,success,199,0,2873.15,4309.72,IN,dev_0250_primary,0,0,0,0,0,0,0
txn_000032,cust_0111,merch_012,4783.31,INR,2026-07-05T09:11:44.358980,dev_0111_primary,103.21.97.5,IN,upi,success,1018,0,3169.5,4754.24,IN,dev_0111_primary,0,0,0,0,0,0,0
txn_000033,cust_0155,merch_011,2238.23,INR,2026-07-05T09:18:31.230782,dev_0155_primary,103.21.13.143,IN,upi,success,475,0,2326.67,3490.0,IN,dev_0155_primary,0,0,0,0,0,0,0
txn_000034,cust_0112,merch_004,5369.4,INR,2026-07-05T09:54:15.356147,dev_0112_primary,103.21.102.164,IN,upi,success,956,0,6404.36,9606.53,IN,dev_0112_primary,0,0,0,0,0,0,0
txn_000035,cust_0244,merch_029,797.7,INR,2026-07-05T10:03:16.045588,dev_0244_primary,103.21.208.91,IN,upi,success,317,1,1036.93,1036.93,IN,dev_0244_primary,0,0,1,0,0,0,0
txn_000036,cust_0146,merch_010,3813.37,INR,2026-07-05T10:12:43.957422,dev_0146_secondary,103.21.203.46,IN,credit_card,success,920,0,4941.59,7412.38,IN,dev_0146_primary,0,0,0,0,0,0,0
txn_000037,cust_0136,merch_021,136.5,INR,2026-07-05T10:13:08.424453,dev_0136_primary,103.21.77.171,IN,upi,success,506,0,452.8,679.2,IN,dev_0136_primary,0,0,0,0,0,0,0
txn_000038,cust_0100,merch_008,3067.97,INR,2026-07-05T10:35:18.182970,dev_0100_primary,103.21.107.85,US,credit_card,success,684,1,1527.96,1527.96,IN,dev_0100_primary,0,0,1,0,1,0,0
txn_000039,cust_0235,merch_013,14060.9,INR,2026-07-05T10:35:42.988778,dev_0235_primary,103.21.62.79,IN,credit_card,success,296,0,16147.7,24221.55,IN,dev_0235_primary,0,0,0,0,0,0,0
txn_000040,cust_0023,merch_021,356.0,INR,2026-07-05T10:44:48.919923,dev_0023_primary,103.21.135.6,SG,credit_card,success,758,0,613.05,919.58,SG,dev_0023_primary,0,0,0,0,0,0,0
txn_000041,cust_0041,merch_012,8105.22,INR,2026-07-05T10:53:25.943887,dev_0041_primary,103.21.197.202,IN,upi,success,1011,0,7343.57,11015.36,IN,dev_0041_primary,0,0,0,0,0,0,0
txn_000042,cust_0203,merch_024,1531.07,INR,2026-07-05T11:02:10.345254,dev_0203_primary,103.21.72.34,IN,upi,success,435,1,2526.88,2526.88,IN,dev_0203_primary,0,0,1,0,0,0,0
txn_000043,cust_0023,merch_026,505.36,INR,2026-07-05T11:17:30.806562,dev_0023_primary,103.21.135.6,SG,credit_card,success,758,1,356.0,356.0,SG,dev_0023_primary,3,6,1,0,0,0,0
txn_000044,cust_0135,merch_027,249865.48,INR,2026-07-05T11:58:50.580506,dev_0135_primary,103.21.25.158,IN,upi,success,218,0,74992.38,112488.57,IN,dev_0135_primary,0,0,0,0,0,0,0
txn_000045,cust_0249,merch_005,1924.87,INR,2026-07-05T12:02:37.326850,dev_0249_primary,103.21.100.131,IN,debit_card,success,960,0,3258.36,4887.54,IN,dev_0249_primary,0,0,0,0,0,0,0
txn_000046,cust_0164,merch_009,3449.61,INR,2026-07-05T12:14:01.079500,dev_0164_primary,103.21.200.123,IN,debit_card,success,795,0,2656.61,3984.92,IN,dev_0164_primary,0,0,0,0,0,0,0
txn_000047,cust_0043,merch_015,4645.12,INR,2026-07-05T12:24:40.909436,dev_0043_secondary,103.21.226.22,IN,net_banking,success,1044,0,6084.39,9126.58,IN,dev_0043_primary,0,0,0,0,0,0,0
txn_000048,cust_0142,merch_020,923.85,INR,2026-07-05T12:45:47.270028,dev_0142_primary,103.21.129.178,IN,credit_card,success,839,0,895.14,1342.72,IN,dev_0142_primary,0,0,0,0,0,0,0
txn_000049,cust_0044,merch_022,21468.97,INR,2026-07-05T13:00:55.423707,dev_0044_primary,103.21.140.22,IN,net_banking,success,155,0,3877.87,5816.8,IN,dev_0044_primary,0,0,0,0,0,0,0
txn_000050,cust_0212,merch_006,6155.18,INR,2026-07-05T13:02:16.773633,dev_0212_primary,103.21.37.127,IN,upi,success,923,0,4569.48,6854.23,IN,dev_0212_primary,0,0,0,0,0,0,0
txn_000051,cust_0107,merch_002,22357.41,INR,2026-07-05T13:05:07.189187,dev_0107_primary,103.21.158.8,US,debit_card,success,1194,0,33168.86,49753.29,US,dev_0107_primary,0,0,0,0,0,0,0
txn_000052,cust_0207,merch_026,1148.49,INR,2026-07-05T13:06:04.971760,dev_0207_primary,103.21.212.203,IN,upi,success,678,0,862.84,1294.26,IN,dev_0207_primary,0,0,0,0,0,0,0
txn_000053,cust_0053,merch_010,614.52,INR,2026-07-05T13:26:15.117184,dev_0053_primary,103.21.250.226,US,upi,success,251,0,1983.29,2974.94,US,dev_0053_primary,0,0,0,0,0,0,0
txn_000054,cust_0195,merch_007,2264.5,INR,2026-07-05T14:04:12.073021,dev_0195_primary,103.21.39.37,IN,credit_card,success,91,0,1258.69,1888.03,IN,dev_0195_primary,0,0,0,0,0,0,0
txn_000055,cust_0075,merch_027,3565.82,INR,2026-07-05T14:09:06.032522,dev_0075_primary,103.21.114.85,IN,net_banking,success,620,0,2470.39,3705.58,IN,dev_0075_primary,0,0,0,0,0,0,0
txn_000056,cust_0081,merch_011,660.17,INR,2026-07-05T14:16:17.045426,dev_0081_primary,103.21.67.208,IN,upi,success,65,0,771.76,1157.64,IN,dev_0081_primary,0,0,0,0,0,0,0
